Area,Safety_index,Safety_index_code,Safety_index_code_val,count,Chain Snatching,Petty Robbery,Taking pictures without permission,Sexual Invites,Catcalls/Whistles,Commenting,Ogling/Lewd Facial Expressions/Staring,Touching /Groping,Others,Stalking,Poor / No Street Lighting,Indecent exposure,Indecent Exposure/Masturbation in public,Rape / Sexual Assault,North East India Report,Human Trafficking,Online Harassment,Quarter 3 : 12 Noon to 6 PM,Quarter 4 : 6 PM to 12 Midnight,Quarter 1 : 12 Midnight to 6 AM,Quarter 2 : 6 AM to 12 Noon
Sagarpur,0.079410708,Green,2,6,2,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,3,2,0
Saidabad,0.08590697,Green,2,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,0,1,1
Sainik Farm,0.188752428,Green,2,9,1,1,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,4,2,1,2
Saket,0.61055221,Yellow,1,50,1,0,3,0,8,15,8,9,1,2,0,0,0,3,0,0,0,13,8,20,9
Samalka,0.003787879,Green,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sangam Vihar,0.08497267,Green,2,9,0,0,0,0,3,1,0,0,3,2,0,0,0,0,0,0,0,0,3,4,2
Sarai Kale Khan,0.041073295,Green,2,4,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1
Sarita Vihar,0.070378533,Green,2,5,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,2,2
Sarojini Nagar,1.565976915,Red,0,44,1,0,6,1,10,13,8,3,1,0,0,0,0,0,0,0,1,8,12,14,10
Sarup Nagar,0.009852217,Green,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Sarvapriya Vihar,0.073968111,Green,2,4,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0
Satya Niketan,0.082436043,Green,2,4,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0
Savitri Nagar,0.009852217,Green,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Seelampur,0.108474427,Green,2,12,0,1,0,0,1,5,1,3,1,0,0,0,0,0,0,0,0,1,4,5,2
Seemapuri,0.009024469,Green,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Shadipur,0.014778325,Green,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
Shahabad Mohammadpur,0.098452711,Green,2,8,0,0,1,0,3,0,2,1,0,0,1,0,0,0,0,0,0,2,0,3,3
Shahdara,0.449098015,Green,2,43,7,1,0,0,6,19,4,5,1,0,0,0,0,0,0,0,0,8,8,17,10
Shakarpur,0.019240303,Green,2,3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0
Shakurpur,0.033713987,Green,2,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0
Shalimar Bagh,0.132609394,Green,2,7,1,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,2,2,2,1
Shankar Vihar,0.010526316,Green,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Shastri Nagar,0.125889436,Green,2,5,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1
Shastri Park,0.011674118,Green,2,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Sheikh Sarai,0.593753691,Yellow,1,38,0,1,1,5,4,19,3,1,0,1,0,3,0,0,0,0,0,18,2,14,4
Sidhartha Nagar,0.069711538,Green,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Siri Fort,0.059176091,Green,2,10,0,0,0,0,0,5,2,2,1,0,0,0,0,0,0,0,0,2,5,0,3
Sita Ram Bazar,0.010526316,Green,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
South Campus,0.003787879,Green,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
South Extension,0.389286624,Green,2,20,0,0,3,1,4,4,1,3,1,2,0,1,0,0,0,0,0,4,2,13,1
Sri Niwaspuri,0.004926108,Green,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subhash Nagar,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Subzi Mandi,0.003787879,Green,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Sultanpuri,0.085179724,Green,2,5,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,3,1
Swasthya Vihar,0.015452424,Green,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
Teen Murti Marg,0.033196721,Green,2,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
Tilak Nagar,0.201807563,Green,2,15,4,0,0,0,1,1,4,5,0,0,0,0,0,0,0,0,0,2,6,6,1
Timarpur,1.431846496,Red,0,14,0,0,0,0,2,5,2,1,1,0,0,0,0,1,1,0,1,2,1,7,4
Tis Hazari,0.021215853,Green,2,5,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,1,3,1,0
Tri Nagar,0.080555556,Green,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Trilokpuri,0.066666667,Green,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Tughlakabad,0.026515152,Green,2,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,3,1,0
University Enclave,0.951949848,Yellow,1,88,1,0,3,1,21,33,9,6,5,6,0,2,1,0,0,0,0,15,19,35,19
Uttam Nagar,4.449460525,Red,0,292,7,3,5,10,40,28,40,90,3,40,0,2,0,24,0,0,0,67,74,86,65
Vasant Kunj,0.09425734,Green,2,7,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,2,2,1,2
Vasant Vihar,0.070765027,Green,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Vasundhara Enclave,0.008713987,Green,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Vijay Nagar,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Vikas Nagar,0.185498022,Green,2,12,0,0,0,2,4,0,2,2,0,0,0,0,0,2,0,0,0,3,3,3,3
Vikaspuri,0.395416901,Green,2,37,1,0,1,2,6,13,2,10,0,2,0,0,0,0,0,0,0,10,16,6,5
Vikram Nagar,0.015452424,Green,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Vinod Nagar,0.087302816,Green,2,6,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,2,0,2
Vishwavidyalaya,0.171338389,Green,2,15,0,0,2,0,7,4,0,0,2,0,0,0,0,0,0,0,0,3,7,4,1
Wazirabad,0.088369091,Green,2,4,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,2
Yamuna Bank,0.07444993,Green,2,8,1,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,4,2,2,0
Yamuna Vihar,0.039097744,Green,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Yusuf Sarai,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Zamrudpur,0.004098361,Green,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
